text,label
경증 호흡곤란을 겪고 있는 환자는 숨이 약간 가쁘고 불안한 모습입니다.,3
열이 나고 아파 보이는 환자는 SIRS 기준에 미치지 않는 경미한 증상을 보이고 있습니다.,3
경미한 불안이나 초조함을 느끼지만 비교적 안정되어 있는 상태,4
열이 나지만 건강해 보이며 감염의 가벼운 징후만 있는 상태,4
경증의 불안과 초조함을 느끼지만 비교적 안정된 상태,4
갑작스러운 불면증으로 인해 잠을 이루지 못하는 상태,4
"열이 나지만 건강해 보이며, 경미한 감염 증상이 있는 상태",4
경미한 불안과 초조함을 느끼지만 비교적 안정된 상태,4
경미한 불안이나 초조함을 느끼지만 안정된 상태,4
건강해 보이지만 열이 나고 가벼운 감염의 징후가 있는 상태,4
경미한 불안과 초조함을 느끼지만 안정된 상태,4
환자가 우울한 상태이지만 자살 생각은 없는 안정된 상태,4
대처하기 어려운 상황에 놓여 있는 환자,4
해를 끼치지 않는 행동을 보이는 안정된 상태의 환자,4
학대의 병력이나 징후를 보이는 환자,4
"열(건강해보임) 상태로, 1 SIRS 기준을 만족하는 환자입니다.",4
"만성적인 상태로, 평상시와 변화가 없는 환자입니다.",4
"급성 중심성 경증 통증(<4)을 경험하는 환자이며, 통증이 경미합니다.",4
"만성 중심성 중등도 통증(4-7)을 겪고 있는 환자로, 지속적인 불편함이 있습니다.",4
"급성 중심성 경증 통증(<4)을 겪고 있는 환자로, 통증이 경미합니다.",4
"의식소실의 병력이 없는 환자로, 상태가 비교적 안정적입니다.",4
"열이 나고 건강해 보이는 상태로, 1 SIRS 기준을 만족하는 환자입니다.",4
경미한 말초성 통증(<4)을 느끼는 환자,5
만성 말초성 통증(<8)을 호소하는 환자,5
상지의 만성 경미한 통증을 호소하는 환자,5
급성 말초성 경증 통증(<4)을 느끼는 환자,5
하지의 만성 경미한 통증을 호소하는 환자,5
상지의 외상으로 만성 경증 통증을 호소하는 환자,5
하지의 외상으로 만성 경증 통증을 호소하는 환자,5
급성 말초성 경증 통증이 있어 환자가 약간의 불편함을 느끼는 상태,5
만성 말초성 통증이 있지만 심각하지 않으며 환자가 이를 견디고 있는 상태,5
동상이나 냉손상으로 인해 피부가 손상된 환자,5
경미한 물림으로 인해 불편함을 겪고 있는 환자,5
쏘임으로 인해 불편함을 겪고 있는 환자,5
경미한 찰과상으로 인해 환자가 약간의 불편함을 겪고 있는 상태,5
봉합이 필요 없는 상태로 환자가 경미한 상처를 가진 경우,5
화상이 있으며 경미한 통증을 느끼는 환자,5
급성 말초성 경증 통증(<4)로 인해 환자가 약간의 불편함을 느끼는 상태,5
피부에 이물질이 있어 환자가 불편함을 느끼는 상태,5
상처를 확인해야 하는 상태로 환자의 상태를 평가 중인 경우,5
"스테이플이나 봉합사를 제거해야 하는 상태로, 환자의 상태를 평가하는 중인 경우",5
"국소성 발진이 나타난 환자로, 추가적인 평가가 필요한 상태",5
